cidade,distcapital
ADAMANTINA,579
ADOLFO,468
AGUAÍ,197
ÁGUAS DA PRATA,227
ÁGUAS DE LINDÓIA,163
ÁGUAS DE SANTA BÁRBARA,298
ÁGUAS DE SÃO PEDRO,187
AGUDOS,311
ALAMBARI,153
ALFREDO MARCONDES,584
ALTAIR,480
ALTINÓPOLIS,336
ALTO ALEGRE,489
ALUMÍNIO,81
ÁLVARES FLORENCE,543
ÁLVARES MACHADO,566
ÁLVARO DE CARVALHO,421
ALVINLÂNDIA,426
AMERICANA,126
AMÉRICO BRASILIENSE,299
AMÉRICO DE CAMPOS,547
AMPARO,138
ANALÂNDIA,236
ANDRADINA,628
ANGATUBA,213
ANHEMBI,231
ANHUMAS,549
APARECIDA,169
APARECIDA D'OESTE,642
APIAÍ,325
ARAÇARIGUAMA,53
ARAÇATUBA,518
ARAÇOIABA DA SERRA,121
ARAMINA,453
ARANDU,279
ARAPEÍ,296
ARARAQUARA,288
ARARAS,189
ARCO-ÍRIS,534
AREALVA,369
AREIAS,245
AREIÓPOLIS,270
ARIRANHA,389
ARTUR NOGUEIRA,148
ARUJÁ,41
ASPÁSIA,619
ASSIS,433
ATIBAIA,67
AURIFLAMA,580
AVAÍ,367
AVANHANDAVA,470
AVARÉ,265
BADY BASSITT,462
BALBINOS,399
BÁLSAMO,476
BANANAL,314
BARÃO DE ANTONINA,379
BARBOSA,506
BARIRI,337
BARRA BONITA,290
BARRA DO CHAPÉU,350
BARRA DO TURVO,320
BARRETOS,440
BARRINHA,352
BARUERI,31
BASTOS,535
BATATAIS,368
BAURU,328
BEBEDOURO,395
BENTO DE ABREU,561
BERNARDINO DE CAMPOS,332
BERTIOGA,114
BILAC,523
BIRIGUI,506
BIRITIBA-MIRIM,80
BOA ESPERANÇA DO SUL,316
BOCAINA,313
BOFETE,189
BOITUVA,120
BOM JESUS DOS PERDÕES,78
BOM SUCESSO DE ITARARÉ,350
BORÁ,485
BORACÉIA,342
BORBOREMA,391
BOREBI,308
BOTUCATU,237
BRAGANÇA PAULISTA,88
BRAÚNA,499
BREJO ALEGRE,517
BRODOWSKI,357
BROTAS,261
BURI,255
BURITAMA,543
BURITIZAL,451
CABRÁLIA PAULISTA,356
CABREÚVA,83
CAÇAPAVA,112
CACHOEIRA PAULISTA,202
CACONDE,296
CAFELÂNDIA,412
CAIABU,556
CAIEIRAS,35
CAIUÁ,625
CAJAMAR,43
CAJATI,229
CAJOBI,447
CAJURU,303
CAMPINA DO MONTE ALEGRE,222
CAMPINAS,96
CAMPO LIMPO PAULISTA,59
CAMPOS DO JORDÃO,171
CAMPOS NOVOS PAULISTA,419
CANANÉIA,257
CANAS,195
CÂNDIDO MOTA,430
CÂNDIDO RODRIGUES,364
CANITAR,372
CAPÃO BONITO,230
CAPELA DO ALTO,135
CAPIVARI,136
CARAGUATATUBA,172
CARAPICUÍBA,27
CARDOSO,571
CASA BRANCA,232
CÁSSIA DOS COQUEIROS,303
CASTILHO,642
CATANDUVA,397
CATIGUÁ,411
CEDRAL,438
CERQUEIRA CÉSAR,292
CERQUILHO,147
CESÁRIO LANGE,149
CHARQUEADA,186
CHAVANTES,372
CLEMENTINA,514
COLINA,424
COLÔMBIA,482
CONCHAL,180
CONCHAS,177
CORDEIRÓPOLIS,175
COROADOS,496
CORONEL MACEDO,344
CORUMBATAÍ,217
COSMÓPOLIS,138
COSMORAMA,513
COTIA,33
CRAVINHOS,313
CRISTAIS PAULISTA,434
CRUZÁLIA,488
CRUZEIRO,215
CUBATÃO,66
CUNHA,222
DESCALVADO,261
DIADEMA,23
DIRCE REIS,620
DIVINOLÂNDIA,269
DOBRADA,333
DOIS CÓRREGOS,262
DOLCINÓPOLIS,612
DOURADO,291
DRACENA,634
DUARTINA,365
DUMONT,354
ECHAPORÃ,463
ELDORADO,242
ELIAS FAUSTO,125
ELISIÁRIO,410
EMBAÚBA,...429
EMBU,28
EMBU-GUAÇU,52
EMILIANÓPOLIS,602
ENGENHEIRO COELHO,160
ESPÍRITO SANTO DO PINHAL,192
ESPÍRITO SANTO DO TURVO,324
ESTIVA GERBI,170
ESTRELA D'OESTE,582
ESTRELA DO NORTE,605
EUCLIDES DA CUNHA PAULISTA,712
FARTURA,361
FERNANDO PRESTES,374
FERNANDÓPOLIS,565
FERNÃO,383
FERRAZ DE VASCONCELOS,32
FLORA RICA,618
FLOREAL,534
